tag;weight
où;2.2837331
délai;2.577225
contrat;3.1733804
paiement;1.5775186
usage;1.155624
fait;4.0079975
fin;1.0547363
être;9.997066
faire;2.0544426
demande;2.8798885
usufruit;1.0088781
avoir;1.8710103
etat;1.2198254
officier;1.3849145
héritier;1.3940861
créance;1.0455647
compter;1.5775186
décès;1.4674591
action;1.7976375
avant;1.3849145
créanciers;1.0272213
bien;1.5316604
mandataire;1.2840266
décret;1.0088781
judiciaire;1.733436
après;2.3937926
père;1.1647958
présent;1.7792941
dernière;6.45682
sera;2.1553304
faite;1.8251522
moins;1.9535547
modalités;1.0455647
intérêt;1.4949739
droit;3.8612518
lorsque;7.3372955
prévues;2.4121358
conditions;3.0724926
à;44.436497
acte;5.0077043
tiers;2.5405385
actes;2.5955684
document;6.291731
loi;1.8526671
communauté;1.2106538
protection;1.3115416
tribunal;1.6508915
ait;1.1005943
mariage;2.9257467
créancier;2.2562184
adoption;1.2014822
protégée;1.0639079
tuteur;1.660063
civil;8.914814
même;4.9343314
juge;4.6775255
divorce;1.2473402
réserve;1.2381686
seul;1.183139
succession;2.430479
charge;1.3665713
premier;1.1464524
héritiers;1.6325483
mesure;1.7701225
défaut;2.2011886
sauf;2.0452712
époux;4.750899
dispositions;3.0541492
demander;1.1281092
république;1.0639079
peuvent;3.2834396
décision;1.4307725
gestion;1.0272213
durée;1.1281092
dette;1.0822511
mandat;1.0272213
exercice;1.0730795
droits;3.2192385
pourra;1.0180498
généré;6.218358
enfant;3.641133
autre;3.879595
mère;1.109766
comme;1.1464524
tutelle;1.0822511
mois;1.2931983
date;1.7976375
garantie;1.2656834
prix;1.7150928
titre;3.8887665
section;2.9991195
chapitre;2.1003008
partage;1.7609509
société;1.2748551
jour;2.146159
ainsi;1.9535547
inscription;1.109766
justice;1.036393
donation;1.0822511
enfants;1.3207132
entre;3.347641
famille;1.8159807
naissance;1.3573996
personne;5.2553377
immeuble;1.1923105
propriété;1.614205
français;1.1739672
état;3.2834396
objet;1.5408322
déclaration;1.3482281
modification;6.5301933
article;33.953335
plus;1.9443833
livre;1.1464524
obligation;1.4124293
contraire;1.2931983
parties;1.8159807
effets;1.0730795
jugement;1.0180498
règles;1.3390564
avec;2.60474
été;6.383447
parents;1.4674591
immeubles;1.0914228
février;6.218358
conseil;1.7609509
�;4.8059287
code;7.9976525
fonds;1.2381686
part;1.5775186
consentement;1.7701225
cause;1.2198254
eux;1.733436
débiteur;2.4029644
deux;2.4029644
mineur;1.5958618
pendant;1.1739672
non;1.8434955
nom;2.0085845
autres;2.3204198
tenu;1.9443833
propriétaire;1.4858023
alinéa;1.8343239
sous;3.4760437
intérêts;1.6967496
nullité;1.30237
cas;6.988774
biens;4.7417274
parentale;1.0088781
chose;1.8893536
autorité;1.7059213
exécution;1.2840266
doit;3.2650967
contre;1.6508915
plusieurs;1.3849145
lieu;3.1642087
convention;1.687578
valeur;1.5775186
partie;2.1920168
mars;6.245873
ans;1.8710103
effet;2.0085845
égard;1.7701225
française;1.5224888
nationalité;1.7976375
conjoint;1.7150928
forme;1.2198254
toutefois;1.9535547
application;1.7150928
également;1.2381686
chacun;1.1739672
articles;2.623083
personnes;1.7884657
vente;1.3940861
compte;1.421601
;
