tag;weight
trois;2.042223
délit;2.3485565
usage;1.0338753
commis;3.0888622
fait;8.462461
être;4.5184183
faire;1.7358894
avoir;1.0338753
etat;1.314681
premiers;1.0338753
commerciale;1.2253338
période;1.072167
II;1.5061394
professionnelle;1.3657366
ayant;2.8335843
procédure;1.0466393
produit;1.3912643
victime;2.3357923
judiciaire;1.2636255
an;1.3274449
présent;5.411891
auteur;2.4379036
applicables;2.7442372
mission;1.429556
entreprise;1.0211115
€;2.4251397
dernière;5.1438494
sécurité;1.2508615
criminelle;3.3951955
emprisonnement;9.738851
fonctions;1.44232
modalités;3.0250428
droit;1.7741811
lorsque;10.415337
prévues;9.738851
conditions;3.599418
à;50.35356
acte;1.1615143
territoire;1.4806117
quinze;1.3274449
activité;2.5527787
interdiction;5.003446
coupables;1.6465422
actes;1.1615143
prévu;1.5699589
document;5.399127
loi;2.1953897
montant;1.0466393
commise;3.0888622
juridiction;2.7442372
prononcée;1.8124728
autorisation;1.4040283
définies;1.5699589
outre;1.429556
condamnation;1.7231256
délits;1.7741811
civil;1.0338753
même;2.5910704
travail;1.557195
crime;1.9528757
publique;3.6504734
premier;1.6082505
sûreté;1.0466393
suivant;2.3613203
dispositions;3.0250428
atteinte;1.072167
sursis;1.1232226
peuvent;1.1359866
décision;2.2592092
étranger;1.2253338
durée;3.8419318
directement;1.1870421
exercice;4.2759047
droits;1.2508615
présente;1.0594032
généré;5.0672655
mentionnée;1.5316672
comme;1.0083476
autre;1.9018202
prévus;3.1016262
alinéas;1.314681
mentionnées;1.314681
punie;3.0505707
titre;2.9101677
cinq;3.7653487
vue;1.2891532
infractions;4.416307
section;4.4673624
pénal;5.1438494
chapitre;2.642126
dix;2.629362
peine;6.854211
condamné;2.1953897
ainsi;1.6848339
servi;1.1870421
contraventions;1.7741811
données;1.0211115
porter;1.1487504
physiques;1.7614173
encourent;2.501723
responsables;1.3019171
amende;12.521379
personne;10.402574
crimes;1.3019171
complémentaires;1.3402088
applicable;1.3402088
déclarées;1.0338753
état;1.3912643
français;1.0466393
objet;1.7741811
modification;5.1310854
article;36.543026
plus;3.4462512
détention;1.0594032
livre;1.0976949
puni;7.7604475
confiscation;2.3740842
fonction;1.3657366
pénalement;1.3657366
conduire;1.1104587
été;4.441835
avec;2.5910704
février;5.08003
occasion;1.6975977
�;20.345648
code;9.266587
physique;1.199806
faits;2.144334
deux;2.501723
mineur;1.8890563
morales;1.8252367
non;1.2891532
encontre;1.1615143
autres;1.4167922
propriétaire;1.1742783
alinéa;3.816404
sous;2.6548898
infraction;7.798739
public;2.9229317
cas;4.9268627
biens;1.0466393
peines;7.90085
chose;1.8507645
autorité;3.254793
exécution;1.1870421
pénale;1.6210145
suivantes;1.1487504
était;1.2253338
contre;1.7231256
plusieurs;2.144334
lieu;1.4678477
réclusion;2.9612234
euros;7.1605444
sociale;1.084931
classe;1.4806117
sept;1.4806117
partie;1.4933755
nature;1.799709
liberté;1.084931
mars;5.0927935
atteintes;1.3785005
ans;13.682894
portées;1.5444311
commettre;2.2592092
autrui;1.7614173
mêmes;2.029459
exercer;1.9401119
prévue;3.6760013
application;2.3102646
également;2.6548898
service;1.6210145
porté;1.0594032
vingt;1.1615143
permis;1.67207
articles;5.182141
personnes;6.586169
compte;1.3274449
;
