tag;weight
trois;2.1606145
délit;2.4847069
usage;1.0938113
commis;3.2679296
fait;8.953047
être;4.78036
faire;1.8365225
avoir;1.0938113
bis;1.026292
etat;1.3908957
premiers;1.0938113
commerciale;1.2963687
période;1.1343228
II;1.5934533
professionnelle;1.4449111
ayant;2.9978528
procédure;1.1073151
produit;1.4719188
raison;1.0397958
victime;2.471203
judiciaire;1.3368803
an;1.4043995
présent;5.7256293
auteur;2.579234
applicables;2.903326
mission;1.5124303
entreprise;1.0803072
dernière;5.4420485
sécurité;1.3233765
criminelle;3.592022
emprisonnement;10.3034315
fonctions;1.5259341
modalités;3.2004106
animal;1.0397958
droit;1.877034
lorsque;11.0191345
prévues;10.3034315
conditions;3.8080835
acte;1.2288496
territoire;1.5664457
quinze;1.4043995
activité;2.7007685
interdiction;5.293506
coupables;1.7419956
actes;1.2288496
prévu;1.6609726
document;5.712125
loi;2.3226607
montant;1.1073151
commise;3.2679296
juridiction;2.903326
objets;1.0397958
prononcée;1.9175456
autorisation;1.4854226
circonstances;1.0532997
définies;1.6609726
outre;1.5124303
condamnation;1.8230187
délits;1.877034
civil;1.0938113
même;2.7412798
travail;1.6474687
crime;2.066088
publique;3.8620987
premier;1.7014841
sûreté;1.1073151
suivant;2.4982107
dispositions;3.2004106
atteinte;1.1343228
sursis;1.188338
peuvent;1.201842
décision;2.39018
étranger;1.2963687
durée;4.0646563
directement;1.2558573
exercice;4.523787
droits;1.3233765
présente;1.1208189
définie;1.0127882
généré;5.3610253
mentionnée;1.620461
comme;1.0668035
autre;2.0120723
prévus;3.2814336
alinéas;1.3908957
mentionnées;1.3908957
punie;3.2274182
titre;3.0788758
cinq;3.983633
vue;1.363888
infractions;4.6723294
section;4.7263446
pénal;5.4420485
chapitre;2.7952952
dix;2.7817914
peine;7.251563
condamné;2.3226607
ainsi;1.7825072
servi;1.2558573
contraventions;1.877034
données;1.0803072
porter;1.2153459
physiques;1.8635302
encourent;2.646753
responsables;1.3773918
amende;13.24727
arme;1.0127882
personne;11.0056305
crimes;1.3773918
complémentaires;1.4179033
applicable;1.4179033
déclarées;1.0938113
état;1.4719188
français;1.1073151
objet;1.877034
modification;5.428544
article;38.6615
plus;3.6460373
détention;1.1208189
livre;1.1613303
�;21.957247
puni;8.210336
confiscation;2.5117147
fonction;1.4449111
pénalement;1.4449111
conduire;1.1748343
avec;2.7412798
février;5.374529
occasion;1.796011
code;9.803789
perpétuité;1.026292
physique;1.2693611
faits;2.2686455
deux;2.646753
mineur;1.9985687
morales;1.9310493
non;1.363888
encontre;1.2288496
autres;1.4989264
propriétaire;1.2423534
alinéa;4.0376487
sous;2.808799
prononcées;1.026292
��;2.5657299
infraction;8.250848
public;3.0923798
cas;5.212483
biens;1.1073151
peines;8.358878
chose;1.958057
autorité;3.4434798
exécution;1.2558573
pénale;1.7149879
suivantes;1.2153459
était;1.2963687
contre;1.8230187
plusieurs;2.2686455
lieu;1.5529419
réclusion;3.1328914
euros;7.5756555
sociale;1.1478266
classe;1.5664457
sept;1.5664457
partie;1.5799495
nature;1.9040418
liberté;1.1478266
mars;5.388033
atteintes;1.4584149
complémentaire;1.0127882
ans;14.476119
portées;1.6339648
commettre;2.39018
autrui;1.8635302
mêmes;2.147111
exercer;2.052584
violences;1.026292
toutefois;1.0397958
prévue;3.8891065
caractère;1.0397958
application;2.4441953
également;2.808799
service;1.7149879
porté;1.1208189
vingt;1.2288496
permis;1.7690033
articles;5.4825597
personnes;6.9679823
compte;1.4043995
;
