tag;weight
article;0.032729
sociale;0.013859
code;0.011534
avril;0.010783
personnes;0.008579
conseil;0.007655
action;0.007497
personne;0.006902
familles;0.006486
document;0.005934
modification;0.005696
établissement;0.005578
dernière;0.005525
généré;0.005339
conditions;0.005004
cas;0.004973
service;0.004837
président;0.004796
être;0.004731
services;0.004567
mots;0.004400
départemental;0.004375
aide;0.004356
titre;0.004241
établissements;0.004210
dispositions;0.004080
ainsi;0.003730
accueil;0.003609
avec;0.003578
alinéa;0.003528
etat;0.003513
application;0.003445
mentionnés;0.003358
représentant;0.003162
présent;0.003116
santé;0.003110
sous;0.003097
département;0.003017
section;0.002983
prévues;0.002887
demande;0.002868
modalités;0.002843
”;0.002815
“;0.002784
protection;0.002756
articles;0.002744
sécurité;0.002620
handicapées;0.002542
enfant;0.002533
autonomie;0.002499
mentionné;0.002490
directeur;0.002459
peuvent;0.002443
travail;0.002440
charge;0.002418
notamment;0.002387
mentionnée;0.002338
compte;0.002332
prestations;0.002313
mentionnées;0.002285
médico;0.002232
vie;0.002217
membres;0.002208
même;0.002192
formation;0.002186
montant;0.002183
accompagnement;0.002130
activité;0.002115
décision;0.002090
contrat;0.002071
mois;0.002059
social;0.002043
échéant;0.002031
famille;0.002006
chapitre;0.001997
durée;0.001966
remplacés;0.001910
autorité;0.001907
enfants;0.001876
moins;0.001863
commission;0.001854
premier;0.001839
chaque;0.001826
agrément;0.001811
délai;0.001795
partie;0.001792
droit;0.001789
familiales;0.001786
deux;0.001783
allocation;0.001764
organisme;0.001752
projet;0.001749
livre;0.001739
exercice;0.001724
caisse;0.001721
domicile;0.001721
décret;0.001715
mise;0.001705
organismes;0.001693
entre;0.001649
chargé;0.001649
ministre;0.001628
relatives;0.001609
non;0.001591
général;0.001587
autres;0.001566
fait;0.001541
situation;0.001529
prise;0.001525
prévue;0.001519
familial;0.001516
sociaux;0.001504
date;0.001504
ans;0.001504
plus;0.001501
après;0.001501
convention;0.001491
mesure;0.001491
arrêté;0.001485
professionnelle;0.001482
solidarité;0.001460
enfance;0.001445
soins;0.001442
lieu;0.001442
droits;0.001439
sociales;0.001426
objet;0.001398
nationale;0.001386
doit;0.001386
fixées;0.001374
informations;0.001370
cadre;0.001343
nombre;0.001339
avis;0.001336
judiciaire;0.001327
données;0.001308
prévu;0.001308
évaluation;0.001308
hébergement;0.001299
représentants;0.001293
trois;0.001277
autre;0.001268
année;0.001259
œuvre;0.001234
applicables;0.001228
fonction;0.001218
également;0.001212
bénéficiaire;0.001203
activités;0.001184
national;0.001181
public;0.001163
âgées;0.001153
revenu;0.001147
prestation;0.001110
actions;0.001110
besoins;0.001110
information;0.001101
relevant;0.001101
départementale;0.001091
fonctionnement;0.001091
dépenses;0.001082
autorisation;0.001076
ayant;0.001057
assistant;0.001051
gestionnaire;0.001051
insertion;0.001045
désigné;0.001026
mineurs;0.001026
liste;0.001026
agence;0.001023
préfet;0.001023
paragraphe;0.001020
mayotte;0.001014
emploi;0.001011
tarification;0.001008
taux;0.000986
faire;0.000983
accès;0.000983
allocations;0.000970
ressources;0.000964
publique;0.000961
accueillant;0.000955
part;0.000955
majeurs;0.000949
mineur;0.000949
frais;0.000943
active;0.000939
qualité;0.000933
auprès;0.000933
conformément;0.000930
temps;0.000930
associations;0.000927
nature;0.000921
charges;0.000912
accueillie;0.000912
compensation;0.000902
fixé;0.000884
–;0.000881
mesures;0.000877
jours;0.000874
organisation;0.000874
centre;0.000862
éducation;0.000859
annexe;0.000859
nécessaires;0.000859
plusieurs;0.000853
administration;0.000850
avant;0.000843
jour;0.000843
dernier;0.000843
définies;0.000840
bénéficiaires;0.000840
missions;0.000837
suivi;0.000837
équipe;0.000828
suivantes;0.000828
état;0.000825
professionnels;0.000822
assurer;0.000819
moyens;0.000809
ensemble;0.000806
recours;0.000806
accord;0.000806
relative;0.000803
fois;0.000797
adoption;0.000794
lors;0.000784
doivent;0.000781
assurance;0.000781
matière;0.000778
participation;0.000778
budget;0.000775
orientation;0.000775
handicap;0.000772
cours;0.000769
aides;0.000769
collectivité;0.000766
deuxième;0.000763
maison;0.000763
civil;0.000757
compter;0.000757
respect;0.000747
logement;0.000747
nom;0.000747
caractère;0.000744
fonctions;0.000744
chargés;0.000738
compétences;0.000738
accueillies;0.000735
membre;0.000732
personnel;0.000729
X;0.000726
disposition;0.000726
publics;0.000726
où;0.000722
traitement;0.000719
fin;0.000716
sein;0.000716
