tag;weight
article;0.040457
travail;0.020309
avril;0.011701
code;0.009802
section;0.006550
document;0.006354
conditions;0.006224
modification;0.006195
employeur;0.006111
dernière;0.005986
entreprise;0.005934
généré;0.005821
salariés;0.005790
emploi;0.005665
dispositions;0.005396
formation;0.005274
cas;0.005115
être;0.004761
application;0.004750
durée;0.004652
salarié;0.004531
sous;0.004475
contrat;0.004325
titre;0.004164
prévues;0.003960
accord;0.003834
articles;0.003809
professionnelle;0.003790
comité;0.003470
sécurité;0.003391
entreprises;0.003349
chapitre;0.003330
conseil;0.003263
activité;0.003019
ainsi;0.002948
modalités;0.002912
présent;0.002898
travailleurs;0.002829
économique;0.002824
mois;0.002796
compte;0.002794
santé;0.002706
alinéa;0.002703
mentionné;0.002697
mentionnés;0.002676
avec;0.002667
partie;0.002608
délai;0.002603
prévue;0.002601
moins;0.002543
demande;0.002525
mentionnées;0.002448
convention;0.002436
social;0.002436
etat;0.002430
peuvent;0.002404
sociale;0.002337
personnes;0.002257
même;0.002230
mise;0.002227
établissement;0.002127
mentionnée;0.002056
chargé;0.002027
entre;0.002016
nombre;0.002009
décret;0.001965
chaque;0.001958
employeurs;0.001918
service;0.001914
date;0.001891
personnel;0.001888
jours;0.001884
fait;0.001879
organisations;0.001877
notamment;0.001876
prévention;0.001865
ministre;0.001851
plus;0.001851
montant;0.001847
contrôle;0.001814
relatives;0.001811
après;0.001796
premier;0.001761
décision;0.001735
organisme;0.001733
prévu;0.001710
mesures;0.001684
heures;0.001672
commission;0.001665
deux;0.001660
membres;0.001645
période;0.001640
protection;0.001633
compétences;0.001600
échéant;0.001588
droit;0.001582
objet;0.001572
temps;0.001568
personne;0.001568
risques;0.001563
rémunération;0.001528
niveau;0.001526
organisation;0.001523
autorité;0.001517
congé;0.001494
avis;0.001493
travaux;0.001487
non;0.001454
ans;0.001445
organismes;0.001435
services;0.001412
œuvre;0.001408
représentant;0.001407
actions;0.001396
pendant;0.001387
directeur;0.001380
charge;0.001375
livre;0.001361
paragraphe;0.001361
année;0.001312
lieu;0.001303
national;0.001292
autres;0.001280
représentants;0.001277
professionnelles;0.001277
activités;0.001270
établissements;0.001257
trois;0.001243
aide;0.001242
arrêté;0.001235
travailleur;0.001215
applicables;0.001213
insertion;0.001201
compter;0.001192
cours;0.001192
exercice;0.001184
avant;0.001182
plan;0.001180
autre;0.001171
régional;0.001161
défaut;0.001159
exposition;0.001152
nature;0.001141
disposition;0.001136
ayant;0.001129
professionnel;0.001120
réception;0.001112
président;0.001105
informations;0.001099
plusieurs;0.001092
agents;0.001087
information;0.001085
cadre;0.001071
hommes;0.001062
médecin;0.001062
également;0.001057
administrative;0.001041
déclaration;0.001040
procédure;0.001036
négociation;0.001033
équipements;0.001019
droits;0.001015
fixées;0.001012
faire;0.001008
données;0.000997
prude;0.000990
situation;0.000983
définies;0.000973
apprentissage;0.000969
groupe;0.000968
prise;0.000964
salaire;0.000954
